adapt_last_objective,anchor_name,anchor_step,art_painting_full_acc,bn_source,candidate_id,candidate_steps,coefficients,consistency_beta,delta_vs_base_art_painting_full_acc,delta_vs_base_test_env0_in_acc,delta_vs_base_test_env0_out_acc,distill_beta,entropy_beta,epochs,family,global_probe_index,interp_alpha,kl_beta,l2_lambda,loss_temperature,lr,mode,num_shards,optimizer,pca_coefficients,peer_a_step,peer_b_step,peer_step,probe_id,prototype_applied,pseudo_beta,sam_rho,scope,search_alpha,selection_score,shard_id,support_acc,support_mean_loss,support_top_alpha_loss,support_weight_mode,teacher_name,test_env0_in_acc,test_env0_out_acc,validation_mean_loss,view_names,weight_decay
0.026246848826607067,bestmean,8450,0.23779296875,,,,,0.75,-0.5830078125,-0.5814521049420378,-0.589242053789731,0.0,0.0,20,bn_consistency_update,20,1.0,0.0,0.0,0.0,0.001,param_update,8,adam,,,,,bestmean_bn_affine_consistency,,0.0,0.0,bn_affine,,,4,0.28532853285328535,2.0330162345579885,4.489582871394563,,,0.237339841366687,0.2396088019559902,1.851370130266462,"['hflip', 'grayscale', 'autocontrast']",0.0
,bestmean,350,0.85302734375,support,,,,0.0,0.0322265625,0.03355704697986572,0.02689486552567233,0.0,0.0,0,bn_stat_surgery,21,1.0,0.0,0.0,0.0,0.0,bn_stats,8,,,,,,bestmean_bn_stats_support,,0.0,0.0,bn_affine,,,5,0.9603960396039604,0.11190292022911479,0.553439527788714,,,0.8523489932885906,0.8557457212713936,0.1406364485997112,,0.0
,bestmean,7500,0.83154296875,,,,,0.0,0.0107421875,0.007931665649786424,0.022004889975550168,0.0,0.0,0,prototype_reset,22,1.0,0.0,0.0,0.0,0.0,prototype_reset,8,,,,,,bestmean_proto_reset,True,0.0,0.0,classifier,,,6,0.9693969396939695,0.15382683340316278,0.7690843018196096,,,0.8267236119585113,0.8508557457212714,0.10419682557342433,,0.0
0.1388813600771957,bestmean,750,0.79931640625,,,,,0.0,-0.021484375,-0.021354484441732824,-0.022004889975550057,0.0,0.0,15,prototype_finetune,23,1.0,0.0,0.0,0.0,0.0005,param_update,8,adam,,,,,bestmean_proto_reset_ft,,0.0,0.0,classifier,,,7,0.9666966696669667,0.09293205194218505,0.4560489928760844,uniform,,0.797437461866992,0.8068459657701712,0.0891270404603301,[],0.0
0.06989888702001837,bestmean,8500,0.802734375,,,,,0.0,-0.01806640625,-0.018303843807199516,-0.017114914425427896,0.8,0.0,15,prototype_distill,24,1.0,0.0,0.0,0.0,0.0005,param_update,8,adam,,,,,bestmean_proto_distill,,0.0,0.0,classifier,,,0,0.9675967596759676,0.10523254577318059,0.49443168853527353,,quality_uniform,0.8004881025015254,0.8117359413202934,0.11025815801460202,[],0.0
,bestmean,250,0.86083984375,,alpha_0.35,,,0.0,0.0400390625,0.043319097010372176,0.02689486552567233,0.0,0.0,0,checkpoint_line_search,25,1.0,0.0,0.0,0.0,0.0,state_search,8,,,,,800,bestmean_line_bestval,,0.0,0.0,,0.35,0.2126490726153355,1,0.9612961296129613,0.12122934780653918,0.601666887265212,,,0.862111043319097,0.8557457212713936,0.09789043239184789,,0.0
,bestmean,650,0.8564453125,,alpha_0.50,,,0.0,0.03564453125,0.03782794386821231,0.02689486552567233,0.0,0.0,0,checkpoint_line_search,26,1.0,0.0,0.0,0.0,0.0,state_search,8,,,,,14999,bestmean_line_final,,0.0,0.0,,0.5,0.24434503915577377,2,0.9684968496849685,0.14097793267529182,0.7048531052401198,,,0.8566198901769372,0.8557457212713936,0.09393829251287364,,0.0
,bestmean,700,0.8642578125,,plane_0.25_0.50,,"[0.25, 0.5, 0.25]",0.0,0.04345703125,0.04758999389871865,0.02689486552567233,0.0,0.0,0,checkpoint_plane_search,27,1.0,0.0,0.0,0.0,0.0,state_search,8,,,14250,700,,bestmean_plane_bestval_besttail,,0.0,0.0,,,0.21302901622528542,3,0.9738973897389739,0.12362414548115132,0.6180953513578015,,,0.8663819402074435,0.8557457212713936,0.07617729332517176,,0.0
,bestmean,8450,0.82470703125,,local_simplex_26,"[8300, 8350, 8400, 8450, 8500, 8550, 8600]","[0.049854188110510546, 0.06605278440733316, 0.17079303501227297, 0.12792500539713297, 0.11997250022921178, 0.22476474954367356, 0.24063773729986498]",0.0,0.00390625,0.0,0.019559902200488977,0.0,0.0,0,checkpoint_simplex_search,28,1.0,0.0,0.0,0.0,0.0,state_search,8,,,,,,bestmean_simplex_local,,0.0,0.0,,,0.2216662025058251,4,0.9720972097209721,0.12311443908835921,0.6155502310268347,,,0.8187919463087249,0.8484107579462102,0.12343746423721313,,0.0
,bestmean,350,0.875,,quality_simplex_31,"[350, 8400, 450, 250, 9900, 1050]","[0.14783291829124923, 0.0941797668469543, 0.07678978842698701, 0.44697285675873044, 0.04941157973506089, 0.18481308994101814]",0.0,0.05419921875,0.057352043929225105,0.041564792176039145,0.0,0.0,0,quality_simplex_search,29,1.0,0.0,0.0,0.0,0.0,state_search,8,,,,,,bestmean_simplex_quality,,0.0,0.0,,,0.17747592021119798,5,0.9720972097209721,0.09769777327019989,0.4876638203601821,,,0.87614399023795,0.8704156479217604,0.1066224608852082,,0.0
